match_id,season,date,team1,team2,winner,target,toss_won_team1,toss_bat_team1,is_playoff,team1_form_last5,team2_form_last5,team1_season_winrate,team2_season_winrate,team1_season_played,team2_season_played,team1_season_points,team2_season_points,h2h_winrate_team1,h2h_matches,team1_venue_winrate,team2_venue_winrate,opponent_strength,team1_avg_margin,team2_avg_margin
335982,2007/08,2008-04-18,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,1,0,1,0,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0,0.5,0.5,0.5,0.0,0.0
335983,2007/08,2008-04-19,Chennai Super Kings,Punjab Kings,Chennai Super Kings,1,1,1,0,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0,0.5,0.5,0.5,0.0,0.0
335984,2007/08,2008-04-19,Rajasthan Royals,Delhi Capitals,Delhi Capitals,0,1,1,0,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0,0.5,0.5,0.5,0.0,0.0
335985,2007/08,2008-04-20,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,0,1,1,0,0.5,0.0,0.5,0.0,0,1,0,0,0.5,0,0.5,0.5,0.0,0.0,0.0
335986,2007/08,2008-04-20,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,0,1,1,0,0.5,1.0,0.5,1.0,0,1,0,2,0.5,0,0.5,0.5,1.0,0.0,140.0
335987,2007/08,2008-04-21,Punjab Kings,Rajasthan Royals,Rajasthan Royals,0,1,1,0,0.0,0.0,0.0,0.0,1,1,0,0,0.5,0,0.5,0.5,0.0,0.0,0.0
335988,2007/08,2008-04-22,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,0,1,1,0,0.0,1.0,0.0,1.0,1,1,0,2,0.5,0,0.5,0.5,1.0,0.0,9.0
335989,2007/08,2008-04-23,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,1,0,1,0,1.0,0.0,1.0,0.0,1,1,2,0,0.5,0,0.5,0.5,0.0,33.0,0.0
335990,2007/08,2008-04-24,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,0,0,1,0,0.0,0.5,0.0,0.5,2,2,0,2,0.5,0,0.0,0.5,0.5,0.0,6.0
335991,2007/08,2008-04-25,Punjab Kings,Mumbai Indians,Punjab Kings,1,0,1,0,0.0,0.0,0.0,0.0,2,2,0,0,0.5,0,0.0,0.5,0.0,0.0,0.0
335992,2007/08,2008-04-26,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,0,0,1,0,0.5,0.6667,0.5,0.6667,2,3,2,4,0.5,0,0.0,0.5,0.6667,5.0,4.5
335993,2007/08,2008-04-26,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,0,1,1,0,1.0,1.0,1.0,1.0,2,2,4,4,0.5,0,0.5,1.0,1.0,72.5,19.5
335994,2007/08,2008-04-27,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,0,0,1,0,0.0,0.0,0.0,0.0,3,3,0,0,0.5,0,0.5,0.5,0.0,0.0,0.0
335995,2007/08,2008-04-27,Delhi Capitals,Punjab Kings,Punjab Kings,0,1,1,0,1.0,0.3333,1.0,0.3333,2,3,4,2,0.5,0,0.5,0.5,0.3333,9.0,66.0
335996,2007/08,2008-04-28,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,1,1,1,0,1.0,0.3333,1.0,0.3333,3,3,6,2,0.5,0,0.5,0.0,0.3333,16.0,5.0
335997,2007/08,2008-04-29,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,0,1,1,0,0.6667,0.0,0.6667,0.0,3,4,4,0,0.5,0,1.0,0.5,0.0,72.5,0.0
335998,2007/08,2008-04-30,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,1,0,1,0,0.6667,0.25,0.6667,0.25,3,4,4,2,0.5,0,1.0,0.5,0.25,9.0,5.0
335999,2007/08,2008-05-01,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,0,0,1,0,0.25,0.5,0.25,0.5,4,4,2,4,0.5,0,0.0,0.5,0.5,10.0,35.0
336000,2007/08,2008-05-01,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,1,1,1,0,0.75,0.5,0.75,0.5,4,4,6,4,0.5,0,1.0,0.5,0.5,5.33,72.5
336001,2007/08,2008-05-02,Chennai Super Kings,Delhi Capitals,Delhi Capitals,0,1,1,0,1.0,0.75,1.0,0.75,4,4,8,6,0.5,0,1.0,0.5,0.75,15.25,9.33
336003,2007/08,2008-05-03,Punjab Kings,Kolkata Knight Riders,Punjab Kings,1,1,1,0,0.6,0.4,0.6,0.4,5,5,6,4,0.5,0,0.6667,0.5,0.4,25.67,72.5
336034,2007/08,2008-05-03,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,0,1,0,0.2,0.2,0.2,0.2,5,5,2,2,0.5,0,0.0,0.5,0.2,5.0,10.0
